Utility,ZipCode,ServiceType,PricePerKwh,EstimatedMonthlyBill,LastUpdated
"PPL Electric Utilities","17503","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17504","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17505","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17506","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17507","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17508","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17509","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17512","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"PPL Electric Utilities","17516","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"Met-Ed","17517","RS - Regular Residential Service","0.13951","97.66","April 21, 2026"
"PPL Electric Utilities","17517","RS - Regular Residential Service","0.13079","91.55","June 11, 2026"
"","19188","","","","No offers available"
"","19191","","","","No offers available"
"","19192","","","","No offers available"
"","19193","","","","No offers available"
"","19194","","","","No offers available"
"","19195","","","","No offers available"
"West Penn Power","15313","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15314","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15317","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15321","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15322","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15323","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15324","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15329","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
"West Penn Power","15330","RS - Regular Residential Service","0.12075","84.53","April 27, 2026"
